CCODE,ENTRY DATE (DDMMYY),DATE IN WORDS,LOW VALUE,HIGH VALUE
ASIANPAINT,300625,30 JUNE 2025,2243,2455
TCS,300625,30 JUNE 2025,3635,3825
RELIANCE,300625,30 JUNE 2025,1248,1328
TCS,310725,31 JULY 2025,3646,4012
INFY,310725,31 JULY 2025,1850,2059
HINDUNILVR,310725,31 JULY 2025,2223,2372
HDFCBANK,310725,31 JULY 2025,1696,1814
ITC,310725,31 JULY 2025,435,482
ASIANPAINT,310725,31 JULY 2025,2255,2394
SBIN,310725,31 JULY 2025,720,795
RELIANCE,310725,31 JULY 2025,1284,1398
WIPRO,310725,31 JULY 2025,296,319
INFY,290825,29 AUGUST 2025,1835,2015
HDFCBANK,290825,29 AUGUST 2025,1660,1748
HINDUNILVR,290825,29 AUGUST 2025,2232,2483
TCS,290825,29 AUGUST 2025,3700,3915
SBIN,290825,29 AUGUST 2025,731,810
ITC,290825,29 AUGUST 2025,431,464
ASIANPAINT,290825,29 AUGUST 2025,2205,2353
RELIANCE,290825,29 AUGUST 2025,1315,1422
WIPRO,290825,29 AUGUST 2025,294,326
HDFCBANK,300925,30 SEPTEMBER 2025,1694,1848
ITC,300925,30 SEPTEMBER 2025,404,459
INFY,300925,30 SEPTEMBER 2025,1886,2016
HINDUNILVR,300925,30 SEPTEMBER 2025,2137,2420
TCS,300925,30 SEPTEMBER 2025,3596,3832
ASIANPAINT,300925,30 SEPTEMBER 2025,2163,2434
RELIANCE,300925,30 SEPTEMBER 2025,1277,1366
SBIN,300925,30 SEPTEMBER 2025,723,819
WIPRO,300925,30 SEPTEMBER 2025,306,331
ASIANPAINT,311025,31 OCTOBER 2025,2176,2350
HDFCBANK,311025,31 OCTOBER 2025,1750,1895
RELIANCE,311025,31 OCTOBER 2025,1314,1418
INFY,311025,31 OCTOBER 2025,1785,2017
SBIN,311025,31 OCTOBER 2025,757,814
WIPRO,311025,31 OCTOBER 2025,299,316
TCS,311025,31 OCTOBER 2025,3558,3750
ITC,311025,31 OCTOBER 2025,407,461
HINDUNILVR,311025,31 OCTOBER 2025,2248,2423
HDFCBANK,281125,28 NOVEMBER 2025,1797,1901
TCS,281125,28 NOVEMBER 2025,3595,4002
HINDUNILVR,281125,28 NOVEMBER 2025,2285,2515
RELIANCE,281125,28 NOVEMBER 2025,1316,1415
INFY,281125,28 NOVEMBER 2025,1870,1968
ITC,281125,28 NOVEMBER 2025,412,463
SBIN,281125,28 NOVEMBER 2025,759,856
WIPRO,281125,28 NOVEMBER 2025,281,320
ASIANPAINT,281125,28 NOVEMBER 2025,2216,2373
WIPRO,311225,31 DECEMBER 2025,281,313
SBIN,311225,31 DECEMBER 2025,788,892
HINDUNILVR,311225,31 DECEMBER 2025,2233,2445
RELIANCE,311225,31 DECEMBER 2025,1294,1396
ASIANPAINT,311225,31 DECEMBER 2025,2327,2450
HDFCBANK,311225,31 DECEMBER 2025,1789,1916
INFY,311225,31 DECEMBER 2025,1799,2019
TCS,311225,31 DECEMBER 2025,3512,3864
ITC,311225,31 DECEMBER 2025,421,479
INFY,300126,30 JANUARY 2026,1888,2020
SBIN,300126,30 JANUARY 2026,834,904
WIPRO,300126,30 JANUARY 2026,293,316
HDFCBANK,300126,30 JANUARY 2026,1717,1923
ASIANPAINT,300126,30 JANUARY 2026,2228,2445
ITC,300126,30 JANUARY 2026,436,472
TCS,300126,30 JANUARY 2026,3703,3974
RELIANCE,300126,30 JANUARY 2026,1257,1351
HINDUNILVR,300126,30 JANUARY 2026,2328,2503
TCS,270226,27 FEBRUARY 2026,3630,3860
WIPRO,270226,27 FEBRUARY 2026,298,327
RELIANCE,270226,27 FEBRUARY 2026,1280,1421
SBIN,270226,27 FEBRUARY 2026,863,940
HDFCBANK,270226,27 FEBRUARY 2026,1677,1901
HINDUNILVR,270226,27 FEBRUARY 2026,2376,2592
ASIANPAINT,270226,27 FEBRUARY 2026,2156,2394
ITC,270226,27 FEBRUARY 2026,453,489
INFY,270226,27 FEBRUARY 2026,1892,2107
ITC,310326,31 MARCH 2026,428,485
WIPRO,310326,31 MARCH 2026,304,334
HDFCBANK,310326,31 MARCH 2026,1663,1864
HINDUNILVR,310326,31 MARCH 2026,2453,2672
TCS,310326,31 MARCH 2026,3492,3749
ASIANPAINT,310326,31 MARCH 2026,2133,2296
SBIN,310326,31 MARCH 2026,843,896
RELIANCE,310326,31 MARCH 2026,1339,1422
INFY,310326,31 MARCH 2026,1951,2057
HINDUNILVR,300426,30 APRIL 2026,2390,2716
ASIANPAINT,300426,30 APRIL 2026,2074,2211
SBIN,300426,30 APRIL 2026,816,925
WIPRO,300426,30 APRIL 2026,312,347
TCS,300426,30 APRIL 2026,3447,3884
RELIANCE,300426,30 APRIL 2026,1377,1452
ITC,300426,30 APRIL 2026,417,465
INFY,300426,30 APRIL 2026,1810,2054
HDFCBANK,300426,30 APRIL 2026,1616,1807
ITC,290526,29 MAY 2026,430,487
HINDUNILVR,290526,29 MAY 2026,2341,2594
ASIANPAINT,290526,29 MAY 2026,2120,2302
RELIANCE,290526,29 MAY 2026,1402,1519
INFY,290526,29 MAY 2026,1812,1985
TCS,290526,29 MAY 2026,3494,3943
HDFCBANK,290526,29 MAY 2026,1591,1788
SBIN,290526,29 MAY 2026,799,886
WIPRO,290526,29 MAY 2026,319,350
INFY,300626,30 JUNE 2026,1830,2024
WIPRO,300626,30 JUNE 2026,336,358
ASIANPAINT,300626,30 JUNE 2026,2077,2221
SBIN,300626,30 JUNE 2026,817,923
RELIANCE,300626,30 JUNE 2026,1443,1560
HDFCBANK,300626,30 JUNE 2026,1650,1826
TCS,300626,30 JUNE 2026,3628,4097
HINDUNILVR,300626,30 JUNE 2026,2436,2624
ITC,300626,30 JUNE 2026,433,459
INFY,310726,31 JULY 2026,1842,2060
HINDUNILVR,310726,31 JULY 2026,2395,2559
WIPRO,310726,31 JULY 2026,330,374
ASIANPAINT,310726,31 JULY 2026,1993,2207
SBIN,310726,31 JULY 2026,854,926
ITC,310726,31 JULY 2026,431,459
HDFCBANK,310726,31 JULY 2026,1692,1791
RELIANCE,310726,31 JULY 2026,1419,1599
TCS,310726,31 JULY 2026,3594,3947
ITC,310826,31 AUGUST 2026,449,477
TCS,310826,31 AUGUST 2026,3480,3888
HDFCBANK,310826,31 AUGUST 2026,1627,1778
RELIANCE,310826,31 AUGUST 2026,1464,1565
HINDUNILVR,310826,31 AUGUST 2026,2433,2626
ASIANPAINT,310826,31 AUGUST 2026,1957,2090
WIPRO,310826,31 AUGUST 2026,331,369
SBIN,310826,31 AUGUST 2026,843,912
INFY,310826,31 AUGUST 2026,1819,1993
